Battle of the Cremera,-476,-476,
Siege of Eion,-474,-474,
Battle of Cumae,-473,-473,
Battle of the Eurymedon,-466,-465,
Battle of the Eurymedon River,-465,-465,
First Peloponnesian War,-459,-444,
Battle of Mons Algidus,-457,-457
Battle of Tanagra,-456,-456
Battle of Oenophyta,-456,-456
Battle of Jinyang,-454,-452
Siege of Prosoptis,-453,-453
Battle of Salamis in Cyprus,-449,-449
Siege of Citium,-449,-449
Second Sacred War,-448,-447
Battle of Coronea,-446,-446
Samian War,-439,-438
Capture of Fidenae,-434,-434
Battle of Sybota,-432,-432
Battle of Potidaea,-431,-431
Peloponnesian War,-430,-403
Battle of Chalcis,-428,-428
Battle of Naupactus,-428,-428
Battle of Rhium,-428,-428
Mytilenean revolt,-427,-426
Battle of Tanagra,-425,-425
Battle of Olpae,-425,-425
Battle of Idomene,-425,-425
Aetolian campaign,-425,-425
Battle of Pylos,-424,-424
Battle of Sphacteria,-424,-424
Battle of Delium,-423,-423
Battle of Megara,-423,-423
Battle of Amphipolis,-421,-421
Battle of Mantinea,-417,-417
Sicilian Expedition,-414,-412
Battle of Melos,-414,-414
Battle of Cynossema,-410,-410
Battle of Syme,-410,-410
Battle of Eretria,-410,-410
Battle of Cyzicus,-409,-409
Battle of Abydos,-409,-409
Battle of Selinus,-408,-408
Battle of Himera,-408,-408
Battle of Arginusae,-405,-405
Battle of Notium,-405,-405
Battle of Mytilene,-405,-405
Siege of Akragas,-405,-405
Battle of Aegospotami,-404,-404
Battle of Gela,-404,-404
Sack of Camarina,-404,-404
Battle of Phyle,-402,-402
Battle of Munychia,-402,-402
Battle of Piraeus,-402,-402
Battle of Cunaxa,-400,-400
Siege of Motya,-397,-397
Siege of Segesta,-397,-397
Battle of Messene,-396,-396
Battle of Catana,-396,-396
Battle of Veii,-395,-395
Corinthian War,-394,-386
Battle of Haliartus,-394,-394
Battle of Coronea,-393,-393
Battle of Cnidus,-393,-393
Battle of Nemea,-393,-393
Siege of Tauromenium,-393,-393
Battle of Abacaenum,-392,-392
Battle of Chrysas,-391,-391
Battle of Lechaeum,-390,-390
Battle of the Allia,-389,-389
Battle of the Elleporus,-388,-388
Battle of Syracuse,-386,-386
Siege of Rhegium,-385,-385
Battle of Naxos,-375,-375
Battle of Tegyra,-374,-374
Battle of Leuctra,-370,-370
Battle of Cynoscephalae,-363,-363
Battle of Mantinea,-361,-361
Social War,-356,-354
Third Sacred War,-355,-345
Battle of Embata,-355,-355
Battle of Guiling,-353,-352
Battle of Thermopylae,-352,-352
Battle of Crocus Field,-351,-351
Foreign War,-345,-342
Battle of Maling,-341,-341
Battle of Mount Gaurus,-341,-341
Battle of the Crimissus,-339,-339,
Battle of Vesuvius,-339,-339,
Latin War,-339,-337,
Battle of Trifanum,-338,-338,
Battle of Chaeronea,-337,-337,6954
Alexander's Balkan campaign,-334,-334,
Siege of Halicarnassus,-333,-333,
Battle of the Granicus,-333,-333,
Siege of Gordium,-332,-332,
Battle of Issus,-332,-332,
Siege of Tyre,-331,-331,
Siege of Gaza,-331,-331,
Battle of Megalopolis,-330,-330,
Battle of Pandosia,-330,-330,
Battle of Gaugamela,-330,-330,
Battle of the Persian Gate,-329,-329,
Sogdian Rock,-326,-326
Capture of Neapolis,-326,-326
Battle of the Hydaspes River,-324,-324
Lamian War,-322,-322
Battle of Crannon,-321,-321
Battle of the Caudine Forks,-320,-320
Battle of Paraitacene,-316,-316
Battle of Gabiene,-315,-315
Battle of Lautulae,-314,-314
Battle of Gaza,-311,-311
Battle of Himera,-310,-310
Battle of Lake Vadimo,-309,-309
Battle of Salamis in Cyprus,-306,-306
Siege of Rhodes,-304,-303
Battle of Bovianum,-304,-304
Battle of Ipsus,-300,-300
Battle of Camerinum,-297,-297
Battle of Tifernum,-296,-296
Battle of Sentinum,-294,-294
Battle of Aquilonia,-292,-292
Battle of Yique,-292,-292
Battle of Arretium,-283,-283
Battle of Lake Vadimo,-282,-282
Battle of Populonia,-281,-281
Battle of Corupedium,-280,-280
Pyrrhic War,-279,-274
Battle of Heraclea,-279,-279
Battle of Asculum,-278,-278
Battle of Beneventum,-274,-274
Siege of Sparta,-271,-271
Chremonidean War,-266,-260
Kalinga War,-264,-263
Battle of Messana,-264,-263
First Punic War,-263,-240
Punic Wars,-263,-145
Battle of Changping,-261,-259
Battle of Agrigentum,-260,-260
Battle of the Lipari Islands,-259,-259
Battle of Mylae,-259,-259
Battle of Cos,-257,-257
Battle of Sulci,-257,-257
Battle of Tyndaris,-256,-256
Battle of Cape Ecnomus,-255,-255
Battle of Tunis,-254,-254
Battle of Adys,-254,-254
Siege of Aspis,-254,-254
Battle of Panormus,-250,-250
Battle of Drepana,-248,-248
Battle of Andros,-245,-245
Battle of the Aegates Islands,-240,-240
Mercenary War,-239,-237
Battle of the Bagradas River,-238,-238
"Battle of ""The Saw""",-238,-238
Siege of Tunis,-238,-238
Battle of Utica,-237,-237
Illyrian Wars,-228,-218
Cleomenic War,-228,-221
Battle of Dyme,-225,-225
Battle of Telamon,-224,-224
Battle of Faesulae,-224,-224
Qin conquest of Chu,-224,-224
Battle of Sellasia,-221,-221
Battle of Clastidium,-221,-221
Second Punic War,-217,-200
Battle of Cissa,-217,-217
Siege of Saguntum,-217,-217
Battle of Lilybaeum,-217,-217
Battle of Rhone Crossing,-217,-217
Battle of Ticinus,-217,-217
Battle of the Trebia,-217,-217
Battle of Ebro River,-216,-216
Battle of Ager Falernus,-216,-216
Battle of Geronium,-216,-216
Battle of Raphia,-216,-216
Battle of Lake Trasimene,-216,-216
Battle of Nola,-215,-215
Battle of Cannae,-215,-215
Battle of Nola,-214,-214
Battle of Cornus,-214,-214
Battle of Dertosa,-214,-214
First Macedonian War,-213,-204
Battle of Nola,-213,-213
Siege of Syracuse,-213,-211
Battle of Beneventum,-213,-213
Battle of Herdonia,-211,-211
Battle of Capua,-211,-211
Battle of the Silarus,-211,-211
Battle of Tarentum,-211,-211
Battle of Beneventum,-211,-211
Battle of the Upper Baetis,-210,-210
Battle of Capua,-210,-210
Battle of Herdonia,-209,-209
Battle of Numistro,-209,-209
Battle of the Arius,-208,-208
First Battle of Lamia,-208,-208
Second Battle of Lamia,-208,-208
Battle of Canusium,-208,-208
Battle of Tarentum,-208,-208
Battle of Cartagena,-208,-208
Battle of Baecula,-207,-207
Battle of the Metaurus,-206,-206
Battle of Grumentum,-206,-206
Battle of Mantinea,-206,-206
Battle of Julu,-206,-206
Chu–Han contention,-205,-201
Battle of Ilipa,-205,-205
Cretan War,-204,-199
Battle of Crotona,-203,-203
Battle of Tao River,-203,-203
Battle of Wei River,-203,-203
Battle of Utica,-203,-203
Battle of the Great Plains,-202,-202
Battle of Cirta,-202,-202
Po Valley Raid,-202,-202
Battle of Utica,-202,-202
Battle of Gaixia,-201,-201
Battle of Zama,-201,-201
Battle of Chios,-200,-200
Battle of Lade,-200,-200
Second Macedonian War,-199,-196
Battle of Pingcheng,-199,-199
Battle of Cremona,-199,-199
Battle of Panium,-197,-197
Battle of the Aous,-197,-197
Battle of Cynoscephalae,-196,-196
Battle of Gythium,-194,-194
Roman-Spartan War,-194,-194
Battle of Mutina,-193,-193
Roman–Syrian War,-191,-187
Battle of Thermopylae,-190,-190
Aetolian War,-190,-188
Battle of the Eurymedon,-189,-189
Battle of Myonessus,-189,-189
Battle of Magnesia,-189,-189
Galatian War,-188,-188
Battle of Mount Olympus,-188,-188
Third Macedonian War,-170,-167
Battle of Callicinus,-170,-170
Battle of Pydna,-167,-167
Battle of Wadi Haramia,-166,-166
Maccabean Revolt,-166,-159
Maccabee Revolt,-166,-159
Battle of Emmaus,-165,-165
Battle of Beth Horon,-165,-165
Battle of Beth-zechariah,-163,-163
Battle of Beth Zur,-163,-163
Battle of Adasa,-160,-160
Battle of Elasa,-159,-159
Rebellion of the Seven States,-154,-154
Fourth Macedonian War,-149,-147
Third Punic War,-148,-145
Battle of Carthage,-148,-145
Battle of Pydna,-147,-147
Battle of Corinth,-145,-145
Battle of Antioch,-144,-144
First Servile War,-134,-131
Siege of Numantia,-133,-132
Sino-Xiongnu War,-132,89
Battle of Mayi,-132,-132
Battle of Ecbatana,-128,-128
Battle of Mobei,-118,-118
Cimbrian War,-112,-100
Jugurthine War,-111,-104
Battle of Noreia,-111,-111
Battle of Suthul,-109,-109
Gojoseon-Han War,-108,-107
Battle of the Muthul,-107,-107
Battle of Loulan,-107,-107
Battle of Arausio,-104,-104
Second Servile War,-103,-99
Battle of Aquae Sextiae,-101,-101
Battle of Vercellae,-100,-100
Roman–Persian Wars,-91,627
Social War,-90,-87
First Mithridatic War,-88,-84
Battle of Fucine Lake,-88,-88
Battle of Asculum,-88,-88
Battle of the River Amnias,-87,-87
Battle of Mount Scorobas,-87,-87
Sulla's first civil war,-87,-86
Armenian-Parthian War,-86,-84
Battle of Chaeronea,-85,-85
Battle of Tenedos,-85,-85
Battle of Orchomenus,-84,-84
Second Mithridatic War,-82,-80
Sulla's second civil war,-82,-81
Battle of Mount Tifata,-82,-82
Battle of the Colline Gate,-81,-81
Battle of the Baetis River,-79,-79
Battle of Cyzicus,-73,-73
Third Servile War,-72,-70
Third Mithridatic War,-72,-62
Battle of Cabira,-71,-71
Battle of Tigranocerta,-68,-68
Battle of Artaxata,-67,-67
Battle of Jushi,-66,-66
Battle of the Lycus,-65,-65
Roman–Parthian Wars,-65,217
Fourth Mithridatic War,-65,-62
Battle of Pistoria,-61,-61
Gallic Wars,-57,-50
Battle of the Arar,-57,-57
Battle of Bibracte,-57,-57
Battle of Vosges,-57,-57
Battle of the Sabis,-56,-56
Battle of the Axona,-56,-56
Caesar's invasions of Britain,-54,-53
Battle of Carrhae,-52,-52
Battle of Alesia,-51,-51
Battle of Gergovia,-51,-51
Battle of Utica,-48,-48
Caesar's civil war,-48,-44
Battle of Ilerda,-48,-48
Battle of the Bagradas River,-48,-48
Battle of Nicopolis,-47,-47
Siege of Alexandria,-47,-46
Battle of Dyrrhachium,-47,-47
Battle of Pharsalus,-47,-47
Battle of the Nile,-46,-46
Battle of Zela,-46,-46
Battle of Ruspina,-45,-45
Battle of Thapsus,-45,-45
Battle of Munda,-44,-44
Sicilian revolt,-43,-35
Battle of Forum Gallorum,-42,-42
Battle of Mutina,-42,-42
Liberators' civil war,-42,-41
Battle of Philippi,-41,-41
Battle of Perugia,-40,-39
Fulvia's civil war,-40,-39
Antony's Parthian War,-39,-32
Battle of Cilician Gates,-38,-38
Battle of Amanus Pass,-38,-38
Battle of Naulochus,-35,-35
Battle of Zhizhi,-35,-35
Final war of the Roman Republic,-31,-29
Battle of Actium,-30,-30
Battle of Alexandria,-29,-29
Cantabrian Wars,-28,-18
Battle of the Lupia River,-10,-10
Battle of the Teutoburg Forest,0,0
Battle of the Weser River,16,16
Battle of Kunyang,23,23
Battle of the Medway,43,43
Battle of Caer Caradoc,50,50
Roman–Parthian War of 58–63,58,63
Boudica's Uprising,60,61
Battle of Watling Street,61,61
Massacre of the Ninth Legion,61,61
First Jewish-Roman War,66,73
Jewish–Roman wars,66,629
Battle of Beth Horon,66,
Battle of Gamla,67,67
Batavian rebellion,69,70
Siege of Jerusalem,70,70
Masada,72,73
Battle of Yiwulu,73,73
Battle of Mons Graupius,83,84
First Battle of Tapae,87,88
Battle of Ikh Bayan,89,89
Second Battle of Tapae,101,101
Battle of Adamclisi,101,102
First Dacian War,101,102
Second Dacian War,105,106
Battle of Sarmisegetusa,106,106
Kitos War,115,117
Bar Kokhba's revolt,132,135
Battle of Ctesiphon,165,165
Marcomannic Wars,166,180
Battle of Jwa-won,172,172
Yellow Turban Rebellion,184,205
Battle of Xingyang,190,190
Campaign against Dong Zhuo,190,191
Battle of Jieqiao,191,191
Battle of Xiangyang,191,191
Battle of Yangcheng,191,191
Battle of Nicaea,193,193
Battle of Fengqiu,193,193
Battle of Issus,194,194
Battle of Yan Province,194,194
Sun Ce's conquest of Wu Territory,194,199
Battle of Wancheng,197,197
Battle of Lugdunum,197,197
Battle of Yijing,198,199
Battle of Xiapi,198,198
Battle of Ctesiphon,198,198
Campaign against Yuan Shu,199,199
Battle of Guandu,200,200
Battle of Bowang,202,202
Battle of Red Cliffs,208,209
Battle of Xiakou,208,208
Battle of Jiangling,208,209
Battle of Yiling,208,208
Battle to the Southwest of Xiakou,208,208
Battle of Changban,208,208
Battle of Hefei,208,253
Battle of Tong Pass,211,211
Ma Chao's Siege of Ji,213,213
Yang Fu's Revolt,213,213
Battle of Chengdu,214,214
Battle of Baxi,215,215
Battle of Yangping,215,215
Battle of Ruxukou,217,217
Battle of Nisibis,217,217
Battle of Mount Dingjun,218,219
Battle of Antioch,218,218
Lü Meng's invasion of Jing Province,219,219
Battle of Han Shui,219,219
Battle of Fancheng,219,219
Battle of Xiaoting,221,222
Battle of Hormizdegan,224,224
Zhuge Liang's Southern Campaign,225,225
Battle of Xincheng,227,228
Battle of Jieting,228,228
Northern Expeditions,228,234
Battle of Shiting,228,228
Battle of Tianshui,228,228
Siege of Chencang,229,229
Battle of Wuzhang Plains,234,234
Battle of Carthage,238,238
Battle of Resaena,243,243
Battle of Xingshi,244,244
Battle of Misiche,244,244
Jiang Wei's Northern Expeditions,247,262
Battle of Philippopolis,250,250
Battle of Abrittus,251,251
Battle of Barbalissos,253,253
Battle of Didao,255,255
Battle of Edessa,259,259
War of the Eight Princes,261,306
Conquest of Shu by Wei,263,263
Battle of Naissus,268,268
Battle of Lake Benacus,268,268
Battle of Pavia,271,271
Battle of Placentia,271,271
Battle of Fano,271,271
Battle of Emesa,272,272
Battle of Immae,272,272
Battle of Châlons,274,274
Conquest of Wu by Jin,279,280
Battle of Lingones,298,298
Battle of Vindonissa,298,298
War of the Five Kings,298,298
Battle of Turin,312,312
Battle of Verona,312,312
Battle of Milvian Bridge,312,312
Battle of Tzirallum,313,313
Battle of Cibalae,314,314
Battle of Mardia,316,317
Battle of the Hellespont,324,324
Battle of Adrianople,324,324
Battle of Chrysopolis,324,324
Siege of Singara,344,344
War against Gallus,351,352
Battle of Mursa Major,351,351
Battle of Mons Seleucus,353,353
Battle of Durocortorum,356,356
Battle of Argentorate,357,357
Siege of Amida,359,359
Battle of Samarra,363,363
Battle of Ctesiphon,363,363
Battle of Thyatira,366,366
Great Conspiracy,367,368
Battle of Solicinium,367,367
Gothic War,376,382
Battle of the Willows,377,377
Battle of Argentovaria,378,378
Battle of Adrianople,378,378
Battle of Thessalonica,380,380
Battle of Fei River,383,383
Battle of the Save,388,388
Goguryeo–Yamato War,391,404
Battle of the Frigidus,394,394
Battle of Canhe Slope,395,395
Gildonic revolt,398,398
Battle of Pollentia,402,402
Battle of Verona,403,403
Battle of Ravenna,432,432
Battle of Narbonne,436,436
Battle of the Utus,447,447
Battle of Vartanantz,451,452
Battle of the Catalaunian Plains,451,451
Battle of Nedao,454,454
Sack of Rome,455,455
Celtic Invasion of Gaul,470,
Battle of Soissons,486,486
Battle of Tolbiac,496,
Byzantine–Sassanid Wars,502,628
Anastasian War,502,506
Battle of Vouillé,507,507
Battle of Mons Badonicus,516,516
Burgundian War,523,524
Battle of Vézeronce,524,524
Iberian War,526,532
Battle of Dara,530,530
Battle of Nisbis,530,530
Battle of Narbonne,531,
Battle of Callinicum,531,531
Vandalic War,533,534
Battle of Ad Decimum,533,533
Battle of Ticameron,533,533
Gothic War,535,554
Battle of Camlann,537,537
Siege of Rome,537,538
Lazic War,541,562
Frankish Invasion of Hispania,541,541
Battle of Faventia,542,542
Battle of Sena Gallica,551,551
Battle of Asfeld,552,552
Battle of Taginae,552,552
Battle of Mons Lactarius,552,552
Battle of the Volturnus,554,554
Roman–Persian War of 572–591,572,591
Battle of Gwen Ystrad,575,575
Battle of Deorham,577,577
Battle of Alclud Ford,580,580
Maurice’s Balkan campaigns,582,602
Battle of Solachon,586,586
The Turkish-Hephthalite War,588,588
Goguryeo-Sui Wars,598,614
Battle of Catterick,600,600
Battle of Degsastan,603,603
Battle of Salsu,612,612
Revolt against Heraclius,613,617
Battle of Antioch,613,613
Siege of Jerusalem,614,614
Shahin's invasion of Asia Minor,615,615
Battle of Chester,616,616
The Battle of the River Idle,616,
Second Turkish-Hephthalite War,619,619
Siege of Alexandria,619,619
Battle of Hulao,621,621
Battle of Issus,622,622
Battle of Badr,624,624
Battle of Uhud,625,625
Battle of Sarus,625,625
Siege of Constantinople,626,626
Third Perso-Turkic War,627,629
Battle of the Trench,627,627
Battle of Nineveh,627,627
Byzantine–Arab Wars,629,1180
Battle of Mu'tah,629,629
Battle of Khaybar,629,629
Conquest of Mecca,630,630
Battle of Hunayn,630,630
Battle of Wogastisburg,631,631
Battle of Yamama,632,632
Islamic conquest of Persia,633,656
Battle of ein-ul-tamr,633,633
Battle of Al-Anbar,633,633
Battle of Chains,633,633
Battle of River,633,633
Battle of Walaja,633,633
Battle of Ullais,633,633
Battle of Hira,633,633
Battle of Daumat-ul-jandal,633,633
Battle of Hatfield Chase,633,633
Battle of Muzayyah,633,633
Battle of Saniyy,633,633
Battle of Zumail,633,633
Battle of Heavenfield,634,634
Muslim conquest of Syria,634,638
Battle of Faraz,634,634
Battle of Dathin,634,634
Battle of Qarteen,634,634
Battle of Basra,634,634
Battle of Marj-al-Rahit,634,634
Battle of Ajnadayn,634,634
Conquest of Damascus,634,634
Battle of Maraj-al-Debaj,634,634
Battle of the Bridge,634,634
Battle of Fahl,635,635
Siege of Emesa,635,636
Battle of al-Qādisiyyah,636,636
Battle of Yarmouk,636,636
Siege of Jerusalem,636,637
Siege of Ctesiphon,637,637
Battle of Hazir,637,637
Battle of Aleppo,637,637
Battle of Iron bridge,637,637
Siege of Marash,638,638
Battle of Heliopolis,640,640
Muslim conquest of Egypt,641,654
Battle of Maserfield,641,641
Battle of Nihawānd,642,642
Emperor Taizong's campaign against Goguryeo,644,645
Battle of Nikiou,646,646
Umayyad conquest of North Africa,647,709
Khazar–Arab Wars,650,758
Battle of Balanjar,652,652
Battle of That Al-Sawari,655,655
Battle of the Winwaed,655,655
Battle of Bassorah,656,656
First Fitna,656,661
Battle of Siffin,657,657
Battle of Hwangsanbeol,660,660
Battle of Baekgang,663,663
Battle of Two Rivers,671,671
Siege of Constantinople,674,678
Byzantine–Bulgarian Wars,680,1355
Second Fitna,680,692
Battle of Ongala,680,680
Battle of Karbala,680,680
Battle of al-Harrah,683,683
Battle of Nechtansmere,685,685
Battle of Tertry,687,
Battle of Coronate,689,689
Battle of Sebastopolis,692,692
Battle of Varnakert,697,705
Battle of Tianmenling,698,698
Battle of Carthage,698,698
Battle of Anchialus,708,708
Battle of Guadalete,711,712
Battle of Compiègne,715,
Siege of Constantinople,717,718
Battle of Soissons,718,
Battle of Toulouse,721,721
Battle of Covadonga,722,722
Battle of Balanjar,723,723
Battle of Marj Ardebil,730,730
Battle of Mosul,731,731
Battle of Balanjar,732,732
Battle of Tours,732,732
Battle of the Boarn,734,734
Battle of Narbonne,737,737
Battle of Akroinon,739,739
Battle of the Brávellir,750,750
Battle of the Zab,750,750
Battle of Talas,751,751
An Shi Rebellion,16/12/55,17/02/63
Battle of Yongqiu,756,756
Battle of Marcellae,756,756
Battles of Yongqiu and Suiyang,757,757
Battle of the Rishki Pass,759,759
Battle of Anchialus,763,763
Siege of Pavia,773,774
Battle of Berzitia,774,774
Battle of Roncevaux Pass,778,778
Byzantine–Arab Wars,780,1180
Battle of Marcelae,792,792
Siege of Trsat,799,799
Siege of Serdica,809,809
Battle of Rayy,811,811
Battle of Pliska,811,811
Siege of Baghdad,812,813
Battle of Versinikia,813,813
Battle of Adrianople,813,813
Battle of Chalon-sur-Saone,834,
Battle of Anzen,838,838
Bulgarian-Serbian Wars,839,1330
Battle of Fontenay,841,841
Battle of Blain,843,
Battle of Ballon,845,845
Siege of Gerona,850,
Battle of Jengland,851,851
Croatian-Bulgarian wars,854,1000
Rus'–Byzantine War,860,860
The Battle of 40,863,863
Battle of Lalakaon,863,863
Battle of Brissarthe,866,866
Battle of Reading,871,871
Battle of Ashdown,871,871
Battle of Dollar,875,875
Battle of Dair al-'Aqul,876,876
Battle of Cannington,878,878
Battle of Edington,878,878
Siege of Paris,885,886
Battle of Leuven,891,891
Battle of Bulgarophygon,896,896
Battle of Southern Buh,896,896
Rus'–Byzantine War,907,907
Battle of Tettenhall,910,910
Battle of Confey,915,917
Battle of Garigliano,915,915
Battle of Katasyrtai,917,917
Battle of Anchialus,917,917
Battle of Pigae,922,922
Battle of Soissons,923,
Battle of the Bosnian Highlands,927,927
Battle of Riade,933,933
Battle of Brunanburh,937,937
Battle of Bach Dang River,938,938
Battle of Andernach,939,939
Rus'–Byzantine War,941,941
Battle of Stainmore,954,954
Battle of Lechfeld,955,955
Battle of Recknitz,955,955
Battle of Bands,962,962
Battle of Silistra,968,968
Battle of Arcadiopolis,970,970
Battle of Dorostolon,971,971
Battle of Cedynia,972,972
Battle of Tara,980,980
Battle of Stilo,982,982
Battle of the Fýrisvellir,984,984
Battle of Hjörungavágr,986,986
Battle of Trayanovi Vrata,986,986
Battle of Maldon,991,991
Battle of Conquereuil,992,
Goryeo–Khitan Wars,993,1019
Battle of Solun,996,996
Battle of Spercheios,997,997
Battle of Svolder,1000,1000
Battle of Pinhoe,1001,1001
Battle of Calatañazor,1002,
Battle of Skopie,1004,
Battle of Ringmere,1004,
Battle of Kreta,1009,
Battle of Barry,1010,
Battle of Salonica,1014,
Battle of Clontarf,1014,1014
Battle of Kleidion,1014,
Battle of Strumitsa,1014,
Battle of Bitola,1015,1015
Battle of Carham,1016,1018
Battle of Brentford,1016,1016
Battle of Pontlevoy,1016,
Battle of Ashingdon,1016,1016
Battle of Setina,1017,1017
Kwiju First Battle,1018,1018
"Boleslaw I's intervention in the Kievan succession crisis, 1018",1018,1018
Battle of Cannae,1018,
Battle of Dyrrhachium,1018,1018
Battle of Vlaardingen,1018,1018
Battle of Shirimni,1021,1021
Battle of Svindax,1022,1022
Battle of the Helgeå,1026,1026
Battle of Stiklestad,1030,1030
Uprising of Petar Delyan,1040,1041
Battle of Salonica,1040,
Battle of Salonica,1040,
Battle of Dandanaqan,1040,1040
Battle of Ostrovo,1041,
Battle of Sasireti,1042,1042
Battle of Ani,1042,1042
Battle of Sutorman,1042,1042
Battle of Ménfő,1044,1044
Battle of Val-ès-Dunes,1047,
Byzantine–Seljuk wars,1048,1308
Battle of Kapetrou,1048,1048
Byzantine–Norman wars,1050,1185
Zenkunen War,1051,1063
Battle of Civitate,1053,1072
Battle of Manzikert,1054,1054
Battle of Atapuerca,1054,
Battle of Kawasaki,1057,1057
Battle of Lumphanan,1057,
Siege of Kuriyagawa,1062,1062
Battle of Graus,1063,1063
Byzantine–Georgian wars,1064,1308
Siege of Nicaea,1064,1204
War of the Three Sanchos,1065,1067
Norman conquest of England,1066,1066
Battle of Fulford,1066,1066
Battle of Stamford Bridge,1066,1066
Battle of Hastings,1066,1066
Battle of Caesarea,1067,1067
Battle on the river Nemiga,1067,1067
Battle of Llantada,1068,1068
Battle of Mechain,1069,1069
Battle of Iconium,1069,1069
Battle of Pedroso,1071,
Battle of Cassel,1071,1071
Battle of Manzikert,1071,1071
Battle of Golpejera,1072,1072
Revolt of the Earls,1075,
First Battle of Langensalza,1075,
Battle of Kalavryai,1078,1078
Battle of Mellrichstadt,1078,1078
Battle of Cabra,1079,
Battle of Skyhill,1079,1079
Battle of Flarchheim,1080,
Battle on the Elster,1080,1080
Battle of Mynydd Carn,1081,1081
Seljuk Campaigns in the Aegean,1081,1095
Battle of Dyrrhachium,1081,1081
Gosannen War,1083,1089
Siege of Antioch,1084,1084
Sack of Rome,1084,
Sagrajas,1086,1086
Battle of Levounion,1091,1091
Battle of Alnwick,1093,
Battle of the Stugna River,1093,
First Crusade,1095,
Crusades,1095,1291
People's Crusade,1096,1096
Siege of Xerigordon,1096,1096
Battle of Gvozd Mountain,1097,1097
Siege of Nicaea,1097,1097
Battle of Dorylaeum,1097,1097
Battle of Consuegra,1097,
Siege of Antioch,1097,1098
Siege of Capua,1098,
Siege of Ma'arrat al-Numan,1098,1098
Siege of Jerusalem,1099,1099
Battle of Ascalon,1099,1099
Battle of Melitene,1100,1100
Crusade of 1101,1101,
Battle of Ramla,1101,1105
Siege of Tripoli,1102,1109
Battle of Ramla,1102,1102
Battle of Harran,1104,1104
Battle of Artah,1105,1105
Battle of Tinchebray,1106,1106
Norwegian Crusade,1107,
Battle of Uclés,1108,1108
Battle of Hundsfeld,1109,1109
Battle of Głogów,1109,1109
Battle of Shaizar,1111,1111
Siege of Nicaea,1113,1113
Battle of Al-Sannabra,1113,1113
1113–1115 Balearic Islands expedition,1113,1115
Mongol conquest of the Song Dynasty,1115,1279
Battle of Welfesholz,1115,1115
Battle of Sarmin,1115,1115
Battle of Philomelion,1117,1117
Bari civil war of 1117,1117,1117
Battle of Bremule,1119,
Battle of Ager Sanguinis,1119,1119
Battle of Hab,1119,1119
Battle of Didgori,1121,1121
Battle of Beroia,1122,1122
Battle of Yibneh,1123,1123
Battle of Azaz,1125,1125
Jingkang Incident,1125,1127
Battle of Marj es-Suffar,1126,1126
Battle of São Mamede,1128,1128
Battle of Stracathro,1130,1130
Siege of Bayonne,1130,1131
Battle of Nocera,1132,1132
The Anarchy,1135,1154
Battle of Llwchwr,1136,
Battle of Crug Mawr,1136,1136
Battle of Ba'rin,1137,1137
Battle of Clitheroe,1138,
Battle of the Standard,1138,1138
Battle of Ourique,1139,1139
Battle of Lincoln,1141,1141
Rout of Winchester,1141,1141
Battle of Kachhi,1142,1142
Siege of Edessa,1144,1144
Second Crusade,1145,1149
